PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Kyshawn George,WAS,5,29.6,18.0,4.8,5.2,2.0,1.2,1.0,23.2,22.8,10.0,28.0
Grayson Allen,PHX,5,28.7,20.8,3.6,3.4,5.0,0.8,0.6,24.2,24.4,7.0,27.8
Coby White,CHI,4,30.9,18.5,5.0,4.3,4.0,1.3,0.5,22.8,23.5,9.3,27.8
Chet Holmgren,OKC,5,29.5,16.8,1.4,9.6,1.4,0.6,3.4,26.4,18.2,11.0,27.8
Aaron Gordon,DEN,4,30.8,16.0,5.0,6.8,1.8,0.8,0.3,22.8,21.0,11.8,27.8
De'Aaron Fox,SAS,5,31.8,17.0,6.8,4.0,2.2,1.2,0.2,21.0,23.8,10.8,27.8
Tyler Herro,MIA,2,34.9,22.5,3.0,2.0,3.0,2.0,0.5,24.5,25.5,5.0,27.5
OG Anunoby,NYK,5,33.8,18.8,3.0,5.6,1.4,1.6,0.8,24.4,21.8,8.6,27.4
Peyton Watson,DEN,5,34.4,19.8,2.4,5.2,1.6,1.4,1.2,25.0,22.2,7.6,27.4
Cade Cunningham,DET,3,33.3,14.0,10.0,3.3,0.7,0.3,1.0,17.3,24.0,13.3,27.3
Stephen Curry,GSW,5,28.1,16.6,7.4,3.2,3.0,0.6,0.2,19.8,24.0,10.6,27.2
Jonathan Kuminga,GSW,1,21.1,20.0,2.0,5.0,1.0,1.0,0.0,25.0,22.0,7.0,27.0
Jaden McDaniels,MIN,5,35.3,17.0,4.2,5.8,1.6,1.2,1.8,22.8,21.2,10.0,27.0
Kon Knueppel,CHA,5,28.4,17.4,3.8,5.4,2.2,0.8,0.4,22.8,21.2,9.2,26.6
Deandre Ayton,LAL,4,27.5,14.5,0.8,11.3,0.0,0.3,0.5,25.8,15.3,12.1,26.6
Jaren Jackson Jr.,MEM,5,30.8,20.6,1.0,4.8,1.4,1.0,1.8,25.4,21.6,5.8,26.4
Tre Jones,CHI,5,26.6,15.4,8.0,3.0,1.4,1.8,0.2,18.4,23.4,11.0,26.4
Ivica Zubac,LAC,4,29.5,12.8,1.5,12.0,0.0,0.0,0.3,24.8,14.3,13.5,26.3
Max Christie,DAL,3,31.8,19.3,2.7,4.3,4.0,1.0,0.0,23.6,22.0,7.0,26.3
Jabari Smith Jr.,HOU,5,36.4,18.6,0.8,6.8,3.0,0.4,1.2,25.4,19.4,7.6,26.2
Donovan Clingan,POR,5,29.0,12.6,2.0,11.4,0.6,0.0,0.6,24.0,14.6,13.4,26.0
Derrick White,BOS,5,35.6,13.2,6.0,6.6,1.6,1.0,1.4,19.8,19.2,12.6,25.8
Jaime Jaquez Jr.,MIA,3,30.1,13.0,6.7,6.0,1.0,1.0,0.3,19.0,19.7,12.7,25.7
Alex Sarr,WAS,5,25.6,17.2,1.6,6.8,0.4,0.6,1.4,24.0,18.8,8.4,25.6
Sam Hauser,BOS,4,29.9,17.8,2.0,5.5,4.8,0.5,0.3,23.3,19.8,7.5,25.3
Dyson Daniels,ATL,4,31.8,11.5,6.3,7.3,0.0,1.5,0.5,18.8,17.8,13.6,25.1
Brandin Podziemski,GSW,5,25.7,17.0,3.2,4.8,2.4,1.6,0.2,21.8,20.2,8.0,25.0
Franz Wagner,ORL,2,26.3,16.0,2.5,6.5,1.5,0.0,0.0,22.5,18.5,9.0,25.0
Donte DiVincenzo,MIN,5,35.5,12.8,5.8,6.2,3.2,1.6,0.6,19.0,18.6,12.0,24.8
Wendell Carter Jr.,ORL,4,32.4,15.0,3.0,6.8,1.5,0.8,1.8,21.8,18.0,9.8,24.8
Desmond Bane,ORL,5,35.7,16.6,4.0,4.2,0.8,1.2,0.6,20.8,20.6,8.2,24.8
Jalen Smith,CHI,5,28.5,12.4,2.0,10.2,2.0,0.8,1.2,22.6,14.4,12.2,24.6
Cedric Coward,MEM,4,25.7,16.0,2.5,6.0,2.3,0.3,0.5,22.0,18.5,8.5,24.5
Cooper Flagg,DAL,3,25.8,17.0,3.0,4.3,1.0,1.3,0.7,21.3,20.0,7.3,24.3
Paul George,PHI,3,29.5,15.3,5.0,4.0,1.7,1.0,0.0,19.3,20.3,9.0,24.3
Jerami Grant,POR,2,22.4,19.0,2.5,2.5,2.0,0.0,1.0,21.5,21.5,5.0,24.0
Jalen Brunson,NYK,3,25.1,17.3,4.7,2.0,1.3,0.3,0.0,19.3,22.0,6.7,24.0
Javon Small,MEM,1,20.6,14.0,7.0,3.0,3.0,1.0,1.0,17.0,21.0,10.0,24.0
Zach LaVine,SAC,5,30.3,19.2,2.2,2.4,3.4,0.4,0.6,21.6,21.4,4.6,23.8
Naz Reid,MIN,5,25.0,14.8,2.4,6.4,2.6,1.0,0.4,21.2,17.2,8.8,23.6
CJ McCollum,ATL,5,26.2,17.0,3.6,2.8,1.0,0.6,0.8,19.8,20.6,6.4,23.4
Collin Gillespie,PHX,5,28.5,15.2,4.4,3.8,3.4,1.2,0.2,19.0,19.6,8.2,23.4
Tobias Harris,DET,3,27.1,16.0,2.3,5.0,1.3,2.0,0.3,21.0,18.3,7.3,23.3
Andrew Wiggins,MIA,5,30.5,15.2,2.6,5.4,2.0,0.8,0.2,20.6,17.8,8.0,23.2
Matas Buzelis,CHI,5,28.9,15.8,3.2,4.2,2.4,0.4,1.6,20.0,19.0,7.4,23.2
Kyle Filipowski,UTA,5,27.8,12.8,3.0,7.4,1.0,1.6,0.2,20.2,15.8,10.4,23.2
Caleb Love,POR,5,28.3,15.6,4.6,2.6,2.6,1.8,0.2,18.2,20.2,7.2,22.8
Derik Queen,NOP,5,25.5,10.6,4.6,7.6,0.2,0.8,0.6,18.2,15.2,12.2,22.8
Julian Champagnie,SAS,5,30.4,14.6,1.2,6.8,3.8,0.8,0.2,21.4,15.8,8.0,22.6
Nic Claxton,BKN,5,28.8,10.8,4.0,7.8,0.0,0.6,1.8,18.6,14.8,11.8,22.6
Brandon Williams,DAL,4,22.1,16.5,2.5,3.5,0.5,0.8,0.5,20.0,19.0,6.0,22.5
Collin Murray-Boyles,TOR,4,31.0,11.0,4.3,7.0,0.0,0.5,1.5,18.0,15.3,11.3,22.3
Cam Spencer,MEM,5,26.5,10.0,8.6,3.6,1.6,0.6,0.0,13.6,18.6,12.2,22.2
Klay Thompson,DAL,5,22.9,17.8,2.6,1.8,4.8,0.8,0.8,19.6,20.4,4.4,22.2
Mikal Bridges,NYK,5,34.9,16.0,2.8,3.2,2.2,1.8,0.8,19.2,18.8,6.0,22.0
Jordan Miller,LAC,5,31.4,14.4,3.6,4.0,1.0,2.0,0.2,18.4,18.0,7.6,22.0
VJ Edgecombe,PHI,5,33.4,14.0,3.8,4.2,2.0,1.0,0.6,18.2,17.8,8.0,22.0
Kevin Porter Jr.,MIL,5,31.6,10.8,6.0,5.0,0.8,2.0,0.8,15.8,16.8,11.0,21.8
Anfernee Simons,BOS,5,26.5,16.6,2.4,2.8,3.0,0.4,0.2,19.4,19.0,5.2,21.8
Bobby Portis,MIL,5,23.6,14.2,1.6,6.0,2.2,0.6,0.2,20.2,15.8,7.6,21.8
Miles Bridges,CHA,5,28.4,13.4,2.6,5.8,2.0,0.0,0.0,19.2,16.0,8.4,21.8
Day'Ron Sharpe,BKN,4,20.1,12.0,1.8,8.0,0.0,0.0,0.3,20.0,13.8,9.8,21.8
